model_alias,L,displayed_confidence,n_questions,n_wrong,n_correct,n_verify,p_verify_given_wrong,p_verify_given_correct,delta,ci_lower,ci_upper,n_valid_resamples
anthropic_sonnet5,10.0,0.8,100,27,73,86,0.9629629629629629,0.821917808219178,0.14104515474378487,0.021929824561403466,0.25,5000
anthropic_sonnet5,10.0,0.88,100,27,73,80,0.8888888888888888,0.7671232876712328,0.121765601217656,-0.039049235993208864,0.2698412698412699,5000
anthropic_sonnet5,10.0,0.89,100,27,73,79,0.9259259259259259,0.7397260273972602,0.1861998985286657,0.037698412698412676,0.32000000000000006,5000
anthropic_sonnet5,10.0,0.91,100,27,73,72,0.8518518518518519,0.6712328767123288,0.18061897513952307,-0.0011293054771316369,0.34613212874082444,5000
anthropic_sonnet5,10.0,0.99,100,27,73,50,0.8148148148148148,0.3835616438356164,0.43125317097919835,0.24,0.6011029411764706,5000
anthropic_sonnet5,20.0,0.9,100,27,73,90,1.0,0.863013698630137,0.136986301369863,0.06172839506172845,0.22077922077922074,5000
anthropic_sonnet5,20.0,0.93,100,27,73,80,0.9259259259259259,0.7534246575342466,0.17250126839167934,0.028455284552845517,0.30666666666666664,5000
anthropic_sonnet5,20.0,0.94,100,27,73,77,0.8888888888888888,0.726027397260274,0.16286149162861485,-0.0018091361374943382,0.31298055178652195,5000
anthropic_sonnet5,20.0,0.96,100,27,73,70,0.8888888888888888,0.6301369863013698,0.258751902587519,0.09523809523809523,0.416221466731423,5000
anthropic_sonnet5,20.0,0.99,100,27,73,62,0.9259259259259259,0.5068493150684932,0.41907661085743275,0.26203208556149726,0.5662596110357305,5000
