confidence_visibility,decision_owner,error_cost,mean_cost,model_id,n,policy,prompt_family
hidden,human,5.0,0.8675,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
hidden,human,5.0,0.706,anthropic_sonnet5,500,direct,v2_owner_match_v1
hidden,human,5.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
hidden,human,5.0,0.844,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
visible,human,10.0,2.58,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
visible,human,10.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
visible,human,10.0,0.86,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
visible,human,10.0,0.826,anthropic_sonnet5,500,direct,v2_owner_match_v1
visible,human,10.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
visible,human,10.0,0.896,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
visible,human,2.0,0.516,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
visible,human,2.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
visible,human,2.0,0.51,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
visible,human,2.0,0.668,anthropic_sonnet5,500,direct,v2_owner_match_v1
visible,human,2.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
visible,human,2.0,0.492,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
visible,human,20.0,5.16,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
visible,human,20.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
visible,human,20.0,0.885,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
visible,human,20.0,0.9,anthropic_sonnet5,500,direct,v2_owner_match_v1
visible,human,20.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
visible,human,20.0,0.946,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
visible,human,5.0,1.29,anthropic_sonnet5,500,always_use_unverified,v2_owner_match_v1
visible,human,5.0,1.0,anthropic_sonnet5,500,always_verify,v2_owner_match_v1
visible,human,5.0,0.8675,anthropic_sonnet5,400,calibrated_confidence,v2_owner_match_v1
visible,human,5.0,0.784,anthropic_sonnet5,500,direct,v2_owner_match_v1
visible,human,5.0,0.258,anthropic_sonnet5,500,oracle,v2_owner_match_v1
visible,human,5.0,0.844,anthropic_sonnet5,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,10.0,1.2,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,10.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
hidden,ai_system,10.0,0.525,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,10.0,0.79,google_gemini38_flash,500,direct,v2_owner_match_v1
hidden,ai_system,10.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
hidden,ai_system,10.0,0.57,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.24,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,2.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
hidden,ai_system,2.0,0.2175,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.232,google_gemini38_flash,500,direct,v2_owner_match_v1
hidden,ai_system,2.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
hidden,ai_system,2.0,0.224,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,20.0,2.4,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,20.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
hidden,ai_system,20.0,0.575,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,20.0,1.506,google_gemini38_flash,500,direct,v2_owner_match_v1
hidden,ai_system,20.0,0.12,google_gemini38_flash,500,oracle,v2_owner_match_v1
hidden,ai_system,20.0,0.552,google_gemini38_flash,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,5.0,0.6,google_gemini38_flash,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,5.0,1.0,google_gemini38_flash,500,always_verify,v2_owner_match_v1
hidden,ai_system,5.0,0.4,google_gemini38_flash,400,calibrated_confidence,v2_owner_match_v1
