model_alias,model_label,budget,router,catch_frac,catch_lo,catch_hi,precision_among_verified,residual_error_rate_unverified,n,n_wrong,evaluation_only
openai_gpt56_sol,GPT,0.1,random,0.08235294117647059,0.043010752688172046,0.15714285714285714,nan,nan,500,85,False
openai_gpt56_sol,GPT,0.1,raw_q1,0.23823529411764705,0.15942028985507245,0.3058823529411765,0.405,0.1295,500,85,False
openai_gpt56_sol,GPT,0.1,calibrated_q1,0.19294117647058823,0.12471910112359552,0.2727272727272727,0.32799999999999996,0.1372,500,85,False
openai_gpt56_sol,GPT,0.1,hidden,0.196078431372549,0.1727115716753022,0.22117258959364222,0.33333333333333326,0.13666666666666666,500,85,False
openai_gpt56_sol,GPT,0.1,q1_plus_hidden,0.23529411764705882,0.16287878787878787,0.3081395348837209,0.4,0.13,500,85,False
openai_gpt56_sol,GPT,0.1,hindsight_oracle,0.5882352941176471,0.49019607843137253,0.7246376811594203,1.0,0.07,500,85,False
openai_gpt56_sol,GPT,0.1,loo_other_primary_wrong,0.30627126883811373,0.26311716452561523,0.35836542575952074,0.5206611570247933,0.11793388429752066,500,85,True
openai_gpt56_sol,GPT,0.2,random,0.27058823529411763,0.1232876712328767,0.2835820895522388,nan,nan,500,85,False
openai_gpt56_sol,GPT,0.2,raw_q1,0.43576470588235294,0.34210526315789475,0.5189873417721519,0.3704,0.09592000000000002,500,85,False
openai_gpt56_sol,GPT,0.2,calibrated_q1,0.4117647058823529,0.3132530120481928,0.4979423868312757,0.35,0.1,500,85,False
openai_gpt56_sol,GPT,0.2,hidden,0.392156862745098,0.3440496333897349,0.4433934377771208,0.33333333333333326,0.10333333333333332,500,85,False
openai_gpt56_sol,GPT,0.2,q1_plus_hidden,0.4202614379084968,0.3380952380952381,0.5109243697478991,0.3572222222222222,0.09855555555555556,500,85,False
openai_gpt56_sol,GPT,0.2,hindsight_oracle,1.0,0.9900990099009901,1.0,0.85,0.0,500,85,False
openai_gpt56_sol,GPT,0.2,loo_other_primary_wrong,0.6125425376762275,0.5283816425120773,0.7121598639455782,0.5206611570247933,0.06586776859504133,500,85,True
openai_gpt56_sol,GPT,0.3,random,0.27058823529411763,0.21052631578947367,0.38823529411764707,nan,nan,500,85,False
openai_gpt56_sol,GPT,0.3,raw_q1,0.5013282732447818,0.4186046511627907,0.6,0.2840860215053763,0.0847741935483871,500,85,False
openai_gpt56_sol,GPT,0.3,calibrated_q1,0.5035294117647059,0.40613026819923365,0.6,0.2853333333333333,0.0844,500,85,False
openai_gpt56_sol,GPT,0.3,hidden,0.5882352941176471,0.5173735309146653,0.6618923611111112,0.3333333333333333,0.07,500,85,False
openai_gpt56_sol,GPT,0.3,q1_plus_hidden,0.6114135206321334,0.5250180245133381,0.7048913043478262,0.3464676616915423,0.06605970149253731,500,85,False
openai_gpt56_sol,GPT,0.3,hindsight_oracle,1.0,1.0,1.0,0.5666666666666667,0.0,500,85,False
openai_gpt56_sol,GPT,0.3,loo_other_primary_wrong,0.7609809095142014,0.6856319881066683,0.839816933638444,0.43122251539138073,0.04063324538258575,500,85,True
openai_gpt56_sol,GPT,0.4,random,0.43529411764705883,0.3037974683544304,0.49382716049382713,nan,nan,500,85,False
openai_gpt56_sol,GPT,0.4,raw_q1,0.6194373401534526,0.5231910946196662,0.710446054136485,0.2632608695652174,0.06469565217391304,500,85,False
openai_gpt56_sol,GPT,0.4,calibrated_q1,0.5837104072398189,0.4834710743801653,0.6761775362318841,0.24807692307692306,0.07076923076923078,500,85,False
openai_gpt56_sol,GPT,0.4,hidden,0.7779509154655239,0.6784734347717636,0.8510796723752793,0.33062913907284774,0.03774834437086092,500,85,False
openai_gpt56_sol,GPT,0.4,q1_plus_hidden,0.7764705882352941,0.6955056179775281,0.8752260397830017,0.33,0.038,500,85,False
openai_gpt56_sol,GPT,0.4,hindsight_oracle,1.0,1.0,1.0,0.425,0.0,500,85,False
openai_gpt56_sol,GPT,0.4,loo_other_primary_wrong,0.7951264938693156,0.7278088613337365,0.8613586848880966,0.3379287598944591,0.034828496042216356,500,85,True
openai_gpt56_sol,GPT,0.5,random,0.36470588235294116,0.40217391304347827,0.6,nan,nan,500,85,False
openai_gpt56_sol,GPT,0.5,raw_q1,0.6940216086434574,0.6005372656607224,0.7856491334752205,0.2359673469387755,0.05201632653061225,500,85,False
openai_gpt56_sol,GPT,0.5,calibrated_q1,0.6376838235294118,0.5380434782608695,0.725,0.2168125,0.06159375,500,85,False
openai_gpt56_sol,GPT,0.5,hidden,0.8149590962212698,0.7411596049697355,0.884956091574951,0.2770860927152317,0.03145695364238411,500,85,False
openai_gpt56_sol,GPT,0.5,q1_plus_hidden,0.8660633484162895,0.8,0.9367088607594937,0.29446153846153844,0.02276923076923077,500,85,False
openai_gpt56_sol,GPT,0.5,hindsight_oracle,1.0,1.0,1.0,0.34,0.0,500,85,False
