model_alias,model_label,router,budget_fraction,n,n_wrong,n_verify,errors_caught_fraction,errors_caught_count,boot_mean,ci_lower,ci_upper
openai_gpt56_sol,GPT,raw_q1,0.1,500,87,50.0,0.21839080459770116,19.0,0.22306756804979244,0.15058823529411766,0.2970430107526882
openai_gpt56_sol,GPT,calibrated_q1,0.1,500,87,50.0,0.2026618269812462,17.63157894736842,0.20364936406659026,0.13529411764705881,0.27477017364657813
openai_gpt56_sol,GPT,raw_q2,0.1,500,87,50.0,0.21072796934865898,18.333333333333332,0.2124723441236074,0.14232209737827714,0.2857142857142857
openai_gpt56_sol,GPT,mean_q1_q2,0.1,500,87,50.0,0.19923371647509577,17.333333333333332,0.2030046064294929,0.13111111111111112,0.275
openai_gpt56_sol,GPT,single_hidden_ai_L10,0.1,500,87,50.0,0.1818299889603221,15.819209039548022,0.18225451545072105,0.15516611902154073,0.2121212121212121
openai_gpt56_sol,GPT,hidden_aggregate,0.1,500,87,50.0,0.2911877394636015,25.33333333333333,0.29260714504421254,0.23522900235228997,0.3582900914257474
openai_gpt56_sol,GPT,combined_q1_q2_single_hidden,0.1,500,87,50.0,0.19540229885057472,17.0,0.19207951464369885,0.12195121951219512,0.2653061224489796
openai_gpt56_sol,GPT,raw_q1,0.2,500,87,100.0,0.42528735632183906,37.0,0.4153961112739981,0.3263888888888889,0.5073891625615764
openai_gpt56_sol,GPT,calibrated_q1,0.2,500,87,100.0,0.42528735632183906,37.0,0.4094133910758775,0.3216403162055336,0.5006418485237484
openai_gpt56_sol,GPT,raw_q2,0.2,500,87,100.0,0.42068965517241375,36.599999999999994,0.42115128868286,0.33515625,0.5131578947368421
openai_gpt56_sol,GPT,mean_q1_q2,0.2,500,87,100.0,0.41379310344827586,36.0,0.4046397265850577,0.3125,0.5
openai_gpt56_sol,GPT,single_hidden_ai_L10,0.2,500,87,100.0,0.3636599779206442,31.638418079096045,0.3645090309014421,0.31033223804308147,0.4242424242424242
openai_gpt56_sol,GPT,hidden_aggregate,0.2,500,87,100.0,0.49794745484400654,43.32142857142857,0.49552922049633946,0.4039855072463768,0.589041095890411
openai_gpt56_sol,GPT,combined_q1_q2_single_hidden,0.2,500,87,100.0,0.3660477453580902,31.846153846153847,0.3640670569997363,0.27848101265822783,0.45544554455445546
openai_gpt56_sol,GPT,raw_q1,0.3,500,87,150.0,0.5287356321839081,46.0,0.5299236264208271,0.44181585677749363,0.620583717357911
openai_gpt56_sol,GPT,calibrated_q1,0.3,500,87,150.0,0.5149425287356322,44.8,0.5157438403245269,0.4226190476190476,0.609704641350211
openai_gpt56_sol,GPT,raw_q2,0.3,500,87,150.0,0.5547667342799188,48.26470588235294,0.5550173291608883,0.4647887323943662,0.6486605182257357
openai_gpt56_sol,GPT,mean_q1_q2,0.3,500,87,150.0,0.5517241379310345,48.0,0.5440184867567267,0.45,0.6410256410256411
openai_gpt56_sol,GPT,single_hidden_ai_L10,0.3,500,87,150.0,0.5454899668809662,47.457627118644055,0.5467095616114908,0.46549835706462217,0.6358070376101729
openai_gpt56_sol,GPT,hidden_aggregate,0.3,500,87,150.0,0.6118999323867478,53.23529411764706,0.611821558635281,0.5140664961636829,0.7099080694586313
openai_gpt56_sol,GPT,combined_q1_q2_single_hidden,0.3,500,87,150.0,0.5300127713920818,46.111111111111114,0.5381258751204753,0.4418604651162791,0.6422136422136422
openai_gpt56_sol,GPT,raw_q1,0.4,500,87,200.0,0.6302681992337165,54.833333333333336,0.6312145575048516,0.5452898550724639,0.7174205105239588
openai_gpt56_sol,GPT,calibrated_q1,0.4,500,87,200.0,0.6091954022988506,53.0,0.6115781476136437,0.5205627705627704,0.7044444444444445
openai_gpt56_sol,GPT,raw_q2,0.4,500,87,200.0,0.6432057943630924,55.95890410958904,0.6434624083022497,0.5534872176718789,0.7319792911190761
openai_gpt56_sol,GPT,mean_q1_q2,0.4,500,87,200.0,0.6357416529830323,55.30952380952381,0.6351047827752054,0.5458689458689459,0.7272727272727273
openai_gpt56_sol,GPT,single_hidden_ai_L10,0.4,500,87,200.0,0.6690509234546813,58.20743034055727,0.6697694399735328,0.5840122023087323,0.7577854671280276
openai_gpt56_sol,GPT,hidden_aggregate,0.4,500,87,200.0,0.7164750957854407,62.333333333333336,0.7169872460549006,0.629016553067186,0.8027950310559007
openai_gpt56_sol,GPT,combined_q1_q2_single_hidden,0.4,500,87,200.0,0.7011494252873564,61.0,0.6900043140751168,0.6,0.782051282051282
openai_gpt56_sol,GPT,raw_q1,0.5,500,87,250.0,0.7135278514588859,62.07692307692307,0.7139693250619518,0.6303162486368594,0.7961382113821138
openai_gpt56_sol,GPT,calibrated_q1,0.5,500,87,250.0,0.7082416238689165,61.617021276595736,0.7084453457127556,0.6210144927536233,0.7948717948717948
openai_gpt56_sol,GPT,raw_q2,0.5,500,87,250.0,0.7061038446294094,61.43103448275862,0.706446287252075,0.6182503770739064,0.7912936091386231
openai_gpt56_sol,GPT,mean_q1_q2,0.5,500,87,250.0,0.7122844827586207,61.96875,0.7125939916472425,0.6263157894736842,0.7957894736842105
openai_gpt56_sol,GPT,single_hidden_ai_L10,0.5,500,87,250.0,0.7242091028789012,63.0061919504644,0.7249291334477144,0.6533435019239436,0.7983057684550222
openai_gpt56_sol,GPT,hidden_aggregate,0.5,500,87,250.0,0.7803320561941252,67.88888888888889,0.7804751664964578,0.6989177489177488,0.856688573245707
openai_gpt56_sol,GPT,combined_q1_q2_single_hidden,0.5,500,87,250.0,0.7126436781609196,62.0,0.7209249394444495,0.631578947368421,0.811141304347826
anthropic_sonnet5,Claude,raw_q1,0.1,500,129,50.0,0.24335548172757474,31.392857142857142,0.2409056187877709,0.19131614654002713,0.2923076923076923
anthropic_sonnet5,Claude,calibrated_q1,0.1,500,129,50.0,0.21963824289405687,28.333333333333336,0.2210228907466188,0.16835016835016833,0.2744360902255639
anthropic_sonnet5,Claude,raw_q2,0.1,500,129,50.0,0.24117140396210165,31.111111111111114,0.24089368804926317,0.19047619047619047,0.29365079365079366
anthropic_sonnet5,Claude,mean_q1_q2,0.1,500,129,50.0,0.23255813953488372,30.0,0.23913067259905757,0.1865671641791045,0.29411764705882354
anthropic_sonnet5,Claude,single_hidden_ai_L10,0.1,500,129,50.0,0.15132207709461612,19.52054794520548,0.1514715212785297,0.1395045632333768,0.16363636363636364
anthropic_sonnet5,Claude,hidden_aggregate,0.1,500,129,50.0,0.17618040873854826,22.727272727272727,0.17646499544595937,0.1598981619473423,0.19440300194402999
anthropic_sonnet5,Claude,combined_q1_q2_single_hidden,0.1,500,129,50.0,0.23255813953488372,30.0,0.2320434398890684,0.176,0.2900763358778626
anthropic_sonnet5,Claude,raw_q1,0.2,500,129,100.0,0.39018087855297157,50.33333333333333,0.39039496098001336,0.3317016317016317,0.4518752275761621
anthropic_sonnet5,Claude,calibrated_q1,0.2,500,129,100.0,0.3333333333333333,43.0,0.33353281405489593,0.2682926829268293,0.3970526315789473
anthropic_sonnet5,Claude,raw_q2,0.2,500,129,100.0,0.3927648578811369,50.666666666666664,0.3930814418884751,0.334484119155652,0.4543325526932083
anthropic_sonnet5,Claude,mean_q1_q2,0.2,500,129,100.0,0.3959160521837777,51.07317073170732,0.3961743798396606,0.33527131782945735,0.4615384615384615
anthropic_sonnet5,Claude,single_hidden_ai_L10,0.2,500,129,100.0,0.30264415418923224,39.04109589041096,0.3029430425570594,0.2790091264667536,0.32727272727272727
anthropic_sonnet5,Claude,hidden_aggregate,0.2,500,129,100.0,0.3523608174770965,45.45454545454545,0.35292999089191873,0.3197963238946846,0.38880600388805997
anthropic_sonnet5,Claude,combined_q1_q2_single_hidden,0.2,500,129,100.0,0.3643410852713178,47.0,0.36602712122972886,0.3007518796992481,0.43360000000000004
anthropic_sonnet5,Claude,raw_q1,0.3,500,129,150.0,0.528324388789505,68.15384615384615,0.5297594781015701,0.4595238095238096,0.6008010680907878
anthropic_sonnet5,Claude,calibrated_q1,0.3,500,129,150.0,0.4844961240310077,62.5,0.4836464581165919,0.4067796610169492,0.5614159292035398
anthropic_sonnet5,Claude,raw_q2,0.3,500,129,150.0,0.5390578413834227,69.53846153846153,0.5383592433557931,0.46771653543307085,0.6098382749326146
anthropic_sonnet5,Claude,mean_q1_q2,0.3,500,129,150.0,0.5271317829457365,68.0,0.5288074998590856,0.45785123966942143,0.6003787878787878
