model_alias,budget_fraction,catch_rank_by_low_q1,catch_rank_by_low_q2,catch_rank_by_low_mean_q1q2,catch_rank_by_high_hidden_frac,n_wrong,n
openai_gpt56_sol,0.1,0.21839080459770116,0.21072796934865903,0.1992337164750958,0.2911877394636015,87,500
openai_gpt56_sol,0.2,0.42528735632183906,0.42068965517241375,0.41379310344827586,0.49794745484400654,87,500
openai_gpt56_sol,0.3,0.5287356321839081,0.5547667342799188,0.5517241379310345,0.6118999323867478,87,500
openai_gpt56_sol,0.4,0.6302681992337165,0.6432057943630924,0.6357416529830323,0.7164750957854407,87,500
openai_gpt56_sol,0.5,0.7135278514588859,0.7061038446294094,0.7122844827586207,0.7803320561941252,87,500
anthropic_sonnet5,0.1,0.2433554817275747,0.24117140396210165,0.23255813953488372,0.17618040873854826,129,500
anthropic_sonnet5,0.2,0.39018087855297157,0.3927648578811369,0.39591605218377757,0.3523608174770965,129,500
anthropic_sonnet5,0.3,0.5283243887895052,0.5390578413834227,0.5271317829457365,0.5285412262156448,129,500
anthropic_sonnet5,0.4,0.6400555362721276,0.6422079657845496,0.6365202411714039,0.704721634954193,129,500
anthropic_sonnet5,0.5,0.7378435517970402,0.7416020671834626,0.7545219638242894,0.8507751937984496,129,500
