model_id,policy,error_cost,comparison_scope,n,n_questions,mean_cost,mean_cost_ci_lower,mean_cost_ci_upper,regret,regret_ci_lower,regret_ci_upper,unsafe_reliance,unsafe_reliance_ci_lower,unsafe_reliance_ci_upper,verification_burden,verification_burden_ci_lower,verification_burden_ci_upper
openai_gpt56_sol,always_verify,10.0,evaluation,160,160,1.0,1.0,1.0,0.83125,0.775,0.8875,0.0,0.0,0.0,1.0,1.0,1.0
openai_gpt56_sol,always_verify,20.0,evaluation,160,160,1.0,1.0,1.0,0.83125,0.775,0.8875,0.0,0.0,0.0,1.0,1.0,1.0
openai_gpt56_sol,calibrated_confidence,2.0,evaluation,160,160,0.3375,0.225,0.45,0.16875,0.1125,0.225,1.0,1.0,1.0,0.0,0.0,0.0
openai_gpt56_sol,calibrated_confidence,5.0,evaluation,160,160,0.84375,0.5625,1.125,0.675,0.45,0.9,1.0,1.0,1.0,0.0,0.0,0.0
openai_gpt56_sol,calibrated_confidence,10.0,evaluation,160,160,0.96875,0.9375,0.99375,0.8,0.7375,0.8625,0.0,0.0,0.0,0.96875,0.9375,0.99375
openai_gpt56_sol,calibrated_confidence,20.0,evaluation,160,160,0.96875,0.9375,0.99375,0.8,0.7375,0.8625,0.0,0.0,0.0,0.96875,0.9375,0.99375
openai_gpt56_sol,direct,2.0,evaluation,160,160,0.35,0.25,0.45625,0.18125,0.125,0.24375,0.6296296296296297,0.4444444444444444,0.8148148148148148,0.1375,0.0875,0.19375
openai_gpt56_sol,direct,5.0,evaluation,160,160,0.64375,0.43125,0.8875,0.475,0.3,0.66875,0.5555555555555556,0.37037037037037035,0.7407407407407407,0.175,0.11875,0.2375
openai_gpt56_sol,direct,10.0,evaluation,160,160,1.175,0.74375,1.65625,1.00625,0.60625,1.43125,0.5925925925925926,0.4074074074074074,0.7777777777777778,0.175,0.11875,0.23125
openai_gpt56_sol,direct,20.0,evaluation,160,160,1.93125,1.13125,2.84375,1.7625,0.95,2.6125,0.5185185185185185,0.3333333333333333,0.7037037037037037,0.18125,0.125,0.24375
openai_gpt56_sol,oracle,2.0,evaluation,160,160,0.16875,0.1125,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.16875,0.1125,0.225
openai_gpt56_sol,oracle,5.0,evaluation,160,160,0.16875,0.1125,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.16875,0.1125,0.225
openai_gpt56_sol,oracle,10.0,evaluation,160,160,0.16875,0.1125,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.16875,0.1125,0.225
openai_gpt56_sol,oracle,20.0,evaluation,160,160,0.16875,0.1125,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.16875,0.1125,0.225
openai_gpt56_sol,raw_confidence,2.0,evaluation,160,160,0.3375,0.23125,0.45,0.16875,0.1125,0.225,0.8518518518518519,0.7037037037037037,0.9629629629629629,0.05,0.01875,0.0875
openai_gpt56_sol,raw_confidence,5.0,evaluation,160,160,0.71875,0.46875,0.9751562499999977,0.55,0.35,0.75625,0.7407407407407407,0.5555555555555556,0.8888888888888888,0.09375,0.05,0.1375
openai_gpt56_sol,raw_confidence,10.0,evaluation,160,160,1.14375,0.7,1.61875,0.975,0.5685937500000007,1.4,0.5925925925925926,0.4074074074074074,0.7777777777777778,0.14375,0.09375,0.2
openai_gpt56_sol,raw_confidence,20.0,evaluation,160,160,1.725,0.9625,2.6,1.55625,0.8375,2.36875,0.4444444444444444,0.25925925925925924,0.6296296296296297,0.225,0.1625,0.2875
