model_alias,model_label,pair,n_questions,spearman,ci_lo,ci_hi,pairwise_order_reversal_rate,same_prompt_rerun_disagreement,n_generations_used
openai_gpt56_sol,GPT,displayed_0.70->displayed_0.85,500,0.4768775547396391,0.4297844126483709,0.5225329402804096,0.0,0.0676190476190476,3
openai_gpt56_sol,GPT,displayed_0.85->displayed_0.90,500,0.7372624239203283,0.667637333233727,0.8046265319835406,0.23529411764705882,0.0676190476190476,3
openai_gpt56_sol,GPT,displayed_0.90->displayed_0.95,500,0.7137895272834839,0.6308456588156807,0.7916079820640297,0.3,0.0676190476190476,3
openai_gpt56_sol,GPT,displayed_0.95->displayed_0.99,500,0.693645137264008,0.6044166526465861,0.775753153822178,0.043478260869565216,0.0676190476190476,3
anthropic_sonnet5,Claude,displayed_0.70->displayed_0.85,500,0.5527864558149774,0.46946629603561507,0.6276537411928257,0.015151515151515152,0.019047619047619046,3
anthropic_sonnet5,Claude,displayed_0.85->displayed_0.90,500,0.8560627120034926,0.801393761743561,0.9064689025621773,0.25,0.019047619047619046,3
anthropic_sonnet5,Claude,displayed_0.90->displayed_0.95,500,0.7379887403457162,0.6866014632613152,0.7899702947548976,0.0,0.019047619047619046,3
anthropic_sonnet5,Claude,displayed_0.95->displayed_0.99,500,0.8310418958269893,0.784578019284307,0.8733835576704017,0.06382978723404255,0.019047619047619046,3
