label,task,model_alias,from_score,to_score,span,coverage_sensitivity_per_0.10,coverage_sens_ci_lo,coverage_sens_ci_hi,leakage_sensitivity_per_0.10,leakage_sens_ci_lo,leakage_sens_ci_hi,unverified_errors_per_100_per_0.10,delta_coverage,delta_leakage,bootstrap_n,shape,is_max_local_coverage,is_max_local_leakage
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,0.7,0.85,adjacent,-0.2373333333333333,-0.2653333333333333,-0.2106666666666667,0.042666666666666665,0.02933333333333333,0.057333333333333326,4.266666666666667,-0.356,0.064,5000,threshold-like,True,False
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,0.85,0.9,adjacent,-0.09599999999999995,-0.14809999999999987,-0.04399999999999995,0.03599999999999994,0.007999999999999972,0.06399999999999997,3.5999999999999943,-0.048000000000000015,0.017999999999999988,5000,threshold-like,False,False
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,0.9,0.95,adjacent,-0.0720000000000001,-0.12400000000000017,-0.020000000000000046,0.024000000000000056,-0.00400000000000001,0.05600000000000008,2.4000000000000057,-0.036000000000000004,0.01200000000000001,5000,threshold-like,False,False
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,0.95,0.99,adjacent,-0.15499999999999983,-0.21499999999999983,-0.09999999999999994,0.05999999999999997,0.029999999999999968,0.09499999999999993,5.999999999999997,-0.061999999999999986,0.024000000000000007,5000,threshold-like,False,True
POST_HOC_SYSTEMS_REANALYSIS,mmlu,openai_gpt56_sol,0.7,0.99,0.70_to_0.99,-0.1731034482758621,-0.18827586206896554,-0.15793103448275866,0.0406896551724138,0.031034482758620696,0.05034482758620691,4.06896551724138,-0.502,0.11800000000000001,5000,threshold-like,False,False
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,0.7,0.85,adjacent,-0.08266666666666667,-0.1026666666666666,-0.06266666666666672,0.007999999999999998,0.0026666666666666666,0.014666666666666665,0.7999999999999998,-0.124,0.012,5000,monotonic,False,False
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,0.85,0.9,adjacent,-0.048,-0.08799999999999979,-0.012,0.003999999999999997,-0.007999999999999993,0.01999999999999998,0.3999999999999997,-0.02400000000000002,0.002,5000,monotonic,False,False
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,0.9,0.95,adjacent,-0.2600000000000004,-0.3200000000000005,-0.20400000000000024,0.020000000000000028,0.004000000000000006,0.04000000000000005,2.0000000000000027,-0.13,0.01,5000,monotonic,True,False
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,0.95,0.99,adjacent,-0.19,-0.2549999999999997,-0.12999999999999973,0.03499999999999997,0.009999999999999992,0.059999999999999956,3.499999999999997,-0.07600000000000007,0.013999999999999999,5000,monotonic,False,True
POST_HOC_SYSTEMS_REANALYSIS,mmlu,anthropic_sonnet5,0.7,0.99,0.70_to_0.99,-0.12206896551724143,-0.13655172413793104,-0.10758620689655177,0.013103448275862071,0.007586206896551724,0.01931034482758621,1.310344827586207,-0.3540000000000001,0.038,5000,monotonic,False,False
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,0.7,0.85,adjacent,-0.12354312354312354,-0.15384615384615385,-0.09557109557109555,0.05361305361305361,0.034965034965034954,0.07459207459207459,5.3613053613053605,-0.1853146853146853,0.08041958041958042,5000,monotonic,False,False
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,0.85,0.9,adjacent,-0.1328671328671328,-0.20979020979020963,-0.06293706293706286,0.04895104895104892,-0.006993006993006973,0.09790209790209789,4.895104895104891,-0.06643356643356646,0.02447552447552448,5000,monotonic,False,False
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,0.9,0.95,adjacent,-0.174825174825175,-0.24475524475524513,-0.11188811188811204,0.13286713286713311,0.07692307692307704,0.19580419580419606,13.286713286713312,-0.0874125874125874,0.06643356643356646,5000,monotonic,True,True
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,0.95,0.99,adjacent,-0.12237762237762229,-0.20104895104895096,-0.04370629370629372,0.12237762237762216,0.05244755244755243,0.20104895104895087,12.237762237762215,-0.04895104895104896,0.0489510489510489,5000,monotonic,False,False
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,0.7,0.99,0.70_to_0.99,-0.1338316855558235,-0.1531227393296359,-0.11454063178201111,0.07595852423438632,0.06025440077164216,0.09283819628647218,7.5958524234386315,-0.3881118881118881,0.22027972027972026,5000,monotonic,False,False
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,0.7,0.85,adjacent,-0.002331002331002289,-0.006993006993007015,0.0,0.002331002331002331,0.0,0.006993006993006992,0.2331002331002331,-0.0034965034965034336,0.0034965034965034965,5000,saturated,False,False
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,0.85,0.9,adjacent,-0.013986013986013946,-0.04895104895104892,0.020979020979020806,0.013986013986013977,-0.013986013986013974,0.041958041958041925,1.3986013986013976,-0.006993006993006978,0.006993006993006994,5000,saturated,False,True
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,0.9,0.95,adjacent,-0.020979020979021074,-0.05594405594405613,0.013986013986013977,0.0069930069930070025,-0.013986013986014007,0.027972027972028014,0.6993006993007003,-0.010489510489510523,0.003496503496503496,5000,saturated,False,False
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,0.95,0.99,adjacent,-0.06993006993006971,-0.13111888111888115,-0.01748251748251743,0.0,-0.03496503496503494,0.03496503496503494,0.0,-0.027972027972027913,0.0,5000,saturated,True,False
