label,task,model_alias,score_condition,displayed_confidence,n_outputs,n_incorrect,n_verify_first,verification_coverage,coverage_ci_lo,coverage_ci_hi,n_incorrect_verify,n_incorrect_use_unverified,error_catch_rate,error_catch_ci_lo,error_catch_ci_hi,unverified_error_rate,leakage_ci_lo,leakage_ci_hi,unverified_errors_per_100,fraction_errors_unverified,error_rate,verify_error_precision,bootstrap_n
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.85,0.85,286,153,127,0.44405594405594406,0.3881118881118881,0.5034965034965035,99,54,0.6470588235294118,0.5696181574314696,0.7219017094017093,0.1888111888111888,0.14335664335664336,0.23426573426573427,18.88111888111888,0.35294117647058826,0.534965034965035,0.7795275590551181,5000
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.90,0.9,286,153,108,0.3776223776223776,0.32167832167832167,0.43356643356643354,92,61,0.6013071895424836,0.5231788079470199,0.6788321167883211,0.21328671328671328,0.16774475524475527,0.26223776223776224,21.328671328671327,0.39869281045751637,0.534965034965035,0.8518518518518519,5000
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.95,0.95,286,153,83,0.2902097902097902,0.23776223776223776,0.34615384615384615,73,80,0.477124183006536,0.3973487253923614,0.5590113190585158,0.27972027972027974,0.22727272727272727,0.3321678321678322,27.972027972027973,0.5228758169934641,0.534965034965035,0.8795180722891566,5000
POST_HOC_SYSTEMS_REANALYSIS,code,openai_gpt56_sol,displayed_0.99,0.99,286,153,69,0.24125874125874125,0.19230769230769232,0.2937062937062937,59,94,0.38562091503267976,0.30625,0.46622747747747734,0.32867132867132864,0.2761363636363636,0.38461538461538464,32.86713286713287,0.6143790849673203,0.534965034965035,0.855072463768116,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,hidden,,286,163,282,0.986013986013986,0.972027972027972,0.9965034965034965,162,1,0.9938650306748467,0.9802631578947368,1.0,0.0034965034965034965,0.0,0.01048951048951049,0.34965034965034963,0.006134969325153374,0.5699300699300699,0.574468085106383,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,true_q_visible,0.95,286,163,280,0.9790209790209791,0.9615384615384616,0.993006993006993,159,4,0.9754601226993865,0.9496793512825948,0.9941860465116279,0.013986013986013986,0.0034965034965034965,0.027972027972027972,1.3986013986013985,0.024539877300613498,0.5699300699300699,0.5678571428571428,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.70,0.7,286,163,285,0.9965034965034965,0.9895104895104895,1.0,163,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5699300699300699,0.5719298245614035,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.85,0.85,286,163,284,0.993006993006993,0.9825174825174825,1.0,162,1,0.9938650306748467,0.9802631578947368,1.0,0.0034965034965034965,0.0,0.01048951048951049,0.34965034965034963,0.006134969325153374,0.5699300699300699,0.5704225352112676,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.90,0.9,286,163,282,0.986013986013986,0.972027972027972,0.9965034965034965,160,3,0.9815950920245399,0.9585737179487179,1.0,0.01048951048951049,0.0,0.024475524475524476,1.048951048951049,0.018404907975460124,0.5699300699300699,0.5673758865248227,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.95,0.95,286,163,279,0.9755244755244755,0.958041958041958,0.9895104895104895,159,4,0.9754601226993865,0.95,0.9941860465116279,0.013986013986013986,0.0034965034965034965,0.027972027972027972,1.3986013986013985,0.024539877300613498,0.5699300699300699,0.5698924731182796,5000
POST_HOC_SYSTEMS_REANALYSIS,code,anthropic_sonnet5,displayed_0.99,0.99,286,163,271,0.9475524475524476,0.9195804195804196,0.972027972027972,159,4,0.9754601226993865,0.9493670886075949,0.9941860465116279,0.013986013986013986,0.0034965034965034965,0.027972027972027972,1.3986013986013985,0.024539877300613498,0.5699300699300699,0.5867158671586716,5000
