label,task,model_alias,policy,lambda,leakage_rate,verification_coverage,normalized_loss,best_observed_loss,best_observed_policy,regret_vs_best_observed,is_best_observed
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,0.05,0.02,0.584,0.0492,0.0492,displayed_0.70,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,0.05,0.084,0.228,0.09540000000000001,0.0492,displayed_0.70,0.04620000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,0.05,0.102,0.18,0.11099999999999999,0.0492,displayed_0.70,0.06179999999999999,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,0.05,0.114,0.144,0.1212,0.0492,displayed_0.70,0.07200000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.99,0.05,0.138,0.082,0.1421,0.0492,displayed_0.70,0.09290000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,hidden,0.1,0.038,0.396,0.0776,0.0776,hidden,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,true_q_visible,0.1,0.12,0.124,0.1324,0.0776,hidden,0.05479999999999999,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,0.1,0.02,0.584,0.0784,0.0776,hidden,0.0007999999999999952,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,0.1,0.084,0.228,0.1068,0.0776,hidden,0.029200000000000004,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,0.1,0.102,0.18,0.12,0.0776,hidden,0.04239999999999999,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.95,0.1,0.114,0.144,0.12840000000000001,0.0776,hidden,0.05080000000000001,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.99,0.1,0.138,0.082,0.14620000000000002,0.0776,hidden,0.06860000000000002,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,hidden,0.2,0.038,0.396,0.1172,0.1172,hidden,0.0,True
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,true_q_visible,0.2,0.12,0.124,0.14479999999999998,0.1172,hidden,0.027599999999999986,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.70,0.2,0.02,0.584,0.1368,0.1172,hidden,0.019600000000000006,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.85,0.2,0.084,0.228,0.1296,0.1172,hidden,0.012399999999999994,False
POST_HOC_POLICY_REANALYSIS,mmlu,openai_gpt56_sol,displayed_0.90,0.2,0.102,0.18,0.13799999999999998,0.1172,hidden,0.020799999999999985,False
