section,model_alias,model_label,decision_owner,L,n_questions,n_wrong,hidden_verify_budget,hidden_verify_rate,hidden_error_catch,raw_confidence_error_catch_same_budget,calibrated_confidence_error_catch_same_budget,hidden_minus_raw_pp,hidden_minus_calibrated_pp
matched_budget_cell,openai_gpt56_sol,GPT,ai_system,2.0,500,87,112.0,0.224,0.5517241379310345,0.451559934318555,0.4413793103448276,10.016420361247945,11.03448275862069
matched_budget_cell,openai_gpt56_sol,GPT,ai_system,5.0,500,87,142.0,0.284,0.632183908045977,0.5103448275862069,0.5024630541871922,12.18390804597701,12.972085385878485
matched_budget_cell,openai_gpt56_sol,GPT,ai_system,10.0,500,87,177.0,0.354,0.6436781609195402,0.5862068965517241,0.5619868637110016,5.747126436781613,8.169129720853864
matched_budget_cell,openai_gpt56_sol,GPT,ai_system,20.0,500,87,195.0,0.39,0.6666666666666666,0.6206896551724139,0.5989326765188835,4.597701149425271,6.773399014778314
matched_budget_cell,openai_gpt56_sol,GPT,human,2.0,500,87,110.0,0.22,0.4942528735632184,0.44618599791013586,0.4367816091954023,4.806687565308254,5.747126436781608
matched_budget_cell,openai_gpt56_sol,GPT,human,5.0,500,87,139.0,0.278,0.5747126436781609,0.503448275862069,0.4975369458128079,7.126436781609192,7.7175697865353
matched_budget_cell,openai_gpt56_sol,GPT,human,10.0,500,87,178.0,0.356,0.6436781609195402,0.5881226053639848,0.5640394088669951,5.5555555555555465,7.963875205254512
matched_budget_cell,openai_gpt56_sol,GPT,human,20.0,500,87,188.0,0.376,0.6781609195402298,0.6072796934865899,0.5845648604269295,7.0881226053639885,9.359605911330037
matched_budget_cell,anthropic_sonnet5,Claude,ai_system,2.0,500,129,258.0,0.516,0.8604651162790697,0.7491190979563073,0.7231663685152058,11.134601832276248,13.729874776386398
matched_budget_cell,anthropic_sonnet5,Claude,ai_system,5.0,500,129,280.0,0.56,0.8837209302325582,0.7801268498942917,0.7592426952892068,10.359408033826645,12.44782349433513
matched_budget_cell,anthropic_sonnet5,Claude,ai_system,10.0,500,129,292.0,0.584,0.8837209302325582,0.805094130675526,0.7764857881136951,7.862679955703211,10.72351421188631
matched_budget_cell,anthropic_sonnet5,Claude,ai_system,20.0,500,129,323.0,0.646,0.9302325581395349,0.8578811369509043,0.8261351052048728,7.235142118863058,10.40974529346621
matched_budget_cell,anthropic_sonnet5,Claude,human,2.0,500,129,252.0,0.504,0.8682170542635659,0.7406624383368569,0.7133273703041144,12.755461592670903,15.488968395945147
matched_budget_cell,anthropic_sonnet5,Claude,human,5.0,500,129,273.0,0.546,0.875968992248062,0.770260747004933,0.7477638640429337,10.570824524312904,12.82051282051283
matched_budget_cell,anthropic_sonnet5,Claude,human,10.0,500,129,272.0,0.544,0.8682170542635659,0.7688513037350246,0.7461240310077519,9.936575052854124,12.209302325581394
matched_budget_cell,anthropic_sonnet5,Claude,human,20.0,500,129,299.0,0.598,0.8914728682170543,0.8188343382141833,0.786267995570321,7.263853000287101,10.520487264673328
