model_alias,family,score_condition,difficulty_bin,n,verify_rate,mean_other_n_correct_verify,mean_other_n_correct_use,auroc_difficulty_for_verify,auroc_ci_lower,auroc_ci_upper,hard_minus_easy_verify,hard_minus_easy_ci_lower,hard_minus_easy_ci_upper,n_verify,n_use
anthropic_sonnet5,moderate,hidden,hard_0to1,18,0.7222222222222222,2.246153846153846,2.6285714285714286,0.6356043956043955,0.5383955383955383,0.7286068623398098,0.18253968253968256,-0.0708333333333333,0.42338709677419356,65,35
anthropic_sonnet5,moderate,hidden,medium_2,19,0.9473684210526315,2.246153846153846,2.6285714285714286,0.6356043956043955,0.5383955383955383,0.7286068623398098,0.18253968253968256,-0.0708333333333333,0.42338709677419356,65,35
anthropic_sonnet5,moderate,hidden,easy_3,63,0.5396825396825397,2.246153846153846,2.6285714285714286,0.6356043956043955,0.5383955383955383,0.7286068623398098,0.18253968253968256,-0.0708333333333333,0.42338709677419356,65,35
anthropic_sonnet5,moderate,displayed_0.70,hard_0to1,18,1.0,2.311111111111111,3.0,0.7055555555555555,0.6555555555555556,0.7580645161290323,0.15873015873015872,0.07462686567164178,0.25396825396825395,90,10
anthropic_sonnet5,moderate,displayed_0.70,medium_2,19,1.0,2.311111111111111,3.0,0.7055555555555555,0.6555555555555556,0.7580645161290323,0.15873015873015872,0.07462686567164178,0.25396825396825395,90,10
anthropic_sonnet5,moderate,displayed_0.70,easy_3,63,0.8412698412698413,2.311111111111111,3.0,0.7055555555555555,0.6555555555555556,0.7580645161290323,0.15873015873015872,0.07462686567164178,0.25396825396825395,90,10
anthropic_sonnet5,moderate,displayed_0.90,hard_0to1,18,0.8888888888888888,2.2658227848101267,2.8095238095238093,0.6666666666666666,0.5691699604743082,0.75,0.19047619047619047,-0.012896825396825351,0.360655737704918,79,21
anthropic_sonnet5,moderate,displayed_0.90,medium_2,19,1.0,2.2658227848101267,2.8095238095238093,0.6666666666666666,0.5691699604743082,0.75,0.19047619047619047,-0.012896825396825351,0.360655737704918,79,21
anthropic_sonnet5,moderate,displayed_0.90,easy_3,63,0.6984126984126984,2.2658227848101267,2.8095238095238093,0.6666666666666666,0.5691699604743082,0.75,0.19047619047619047,-0.012896825396825351,0.360655737704918,79,21
anthropic_sonnet5,moderate,displayed_0.99,hard_0to1,18,0.7222222222222222,2.2033898305084745,2.6341463414634148,0.6395204630012403,0.5477719791248495,0.7298711755233496,0.24603174603174605,-0.006211180124223614,0.48155737704918034,59,41
anthropic_sonnet5,moderate,displayed_0.99,medium_2,19,0.8421052631578947,2.2033898305084745,2.6341463414634148,0.6395204630012403,0.5477719791248495,0.7298711755233496,0.24603174603174605,-0.006211180124223614,0.48155737704918034,59,41
anthropic_sonnet5,moderate,displayed_0.99,easy_3,63,0.47619047619047616,2.2033898305084745,2.6341463414634148,0.6395204630012403,0.5477719791248495,0.7298711755233496,0.24603174603174605,-0.006211180124223614,0.48155737704918034,59,41
anthropic_sonnet5,stronger,hidden,hard_0to1,18,0.8333333333333334,2.211267605633803,2.793103448275862,0.6789703739679457,0.5859969558599696,0.7602739726027397,0.24603174603174605,0.014830508474576232,0.4444444444444444,71,29
anthropic_sonnet5,stronger,hidden,medium_2,19,1.0,2.211267605633803,2.793103448275862,0.6789703739679457,0.5859969558599696,0.7602739726027397,0.24603174603174605,0.014830508474576232,0.4444444444444444,71,29
anthropic_sonnet5,stronger,hidden,easy_3,63,0.5873015873015873,2.211267605633803,2.793103448275862,0.6789703739679457,0.5859969558599696,0.7602739726027397,0.24603174603174605,0.014830508474576232,0.4444444444444444,71,29
anthropic_sonnet5,stronger,displayed_0.70,hard_0to1,18,1.0,2.3333333333333335,3.0,0.6989247311827957,0.6505376344086021,0.75,0.11111111111111116,0.0357142857142857,0.19402985074626866,93,7
anthropic_sonnet5,stronger,displayed_0.70,medium_2,19,1.0,2.3333333333333335,3.0,0.6989247311827957,0.6505376344086021,0.75,0.11111111111111116,0.0357142857142857,0.19402985074626866,93,7
anthropic_sonnet5,stronger,displayed_0.70,easy_3,63,0.8888888888888888,2.3333333333333335,3.0,0.6989247311827957,0.6505376344086021,0.75,0.11111111111111116,0.0357142857142857,0.19402985074626866,93,7
anthropic_sonnet5,stronger,displayed_0.90,hard_0to1,18,0.9444444444444444,2.268292682926829,2.888888888888889,0.6876693766937669,0.5980066445182725,0.76,0.2142857142857143,0.046984572230013955,0.3584905660377359,82,18
anthropic_sonnet5,stronger,displayed_0.90,medium_2,19,1.0,2.268292682926829,2.888888888888889,0.6876693766937669,0.5980066445182725,0.76,0.2142857142857143,0.046984572230013955,0.3584905660377359,82,18
anthropic_sonnet5,stronger,displayed_0.90,easy_3,63,0.7301587301587301,2.268292682926829,2.888888888888889,0.6876693766937669,0.5980066445182725,0.76,0.2142857142857143,0.046984572230013955,0.3584905660377359,82,18
anthropic_sonnet5,stronger,displayed_0.99,hard_0to1,18,0.7777777777777778,2.253731343283582,2.6363636363636362,0.6295793758480325,0.5322171486555048,0.7229760289461782,0.2063492063492064,-0.03629032258064513,0.4305555555555556,67,33
anthropic_sonnet5,stronger,displayed_0.99,medium_2,19,0.8947368421052632,2.253731343283582,2.6363636363636362,0.6295793758480325,0.5322171486555048,0.7229760289461782,0.2063492063492064,-0.03629032258064513,0.4305555555555556,67,33
anthropic_sonnet5,stronger,displayed_0.99,easy_3,63,0.5714285714285714,2.253731343283582,2.6363636363636362,0.6295793758480325,0.5322171486555048,0.7229760289461782,0.2063492063492064,-0.03629032258064513,0.4305555555555556,67,33
openai_gpt56_sol,moderate,hidden,hard_0to1,22,0.6818181818181818,1.6571428571428573,2.646153846153846,0.7837362637362637,0.6914285714285715,0.8724679619677552,0.5462249614791987,0.3269230769230769,0.7591036414565826,35,65
openai_gpt56_sol,moderate,hidden,medium_2,19,0.631578947368421,1.6571428571428573,2.646153846153846,0.7837362637362637,0.6914285714285715,0.8724679619677552,0.5462249614791987,0.3269230769230769,0.7591036414565826,35,65
openai_gpt56_sol,moderate,hidden,easy_3,59,0.13559322033898305,1.6571428571428573,2.646153846153846,0.7837362637362637,0.6914285714285715,0.8724679619677552,0.5462249614791987,0.3269230769230769,0.7591036414565826,35,65
