model_alias,model_label,feature_set,n,log_loss,auroc,brier,unstable
openai_gpt56_sol,GPT,q1,500,0.45091785402644474,0.6398096351340068,0.1402902403725998,False
openai_gpt56_sol,GPT,q1_q2,500,0.4519941669080185,0.6410898666889315,0.14079662533868847,False
openai_gpt56_sol,GPT,difficulty,500,0.3196213594873594,0.8639614817288692,0.097892196017061,False
openai_gpt56_sol,GPT,q1_q2_hidden,500,0.409661201812269,0.7222036681417161,0.12748334520339802,False
openai_gpt56_sol,GPT,q1_q2_difficulty,500,0.32727387488334964,0.8571985193843755,0.10023278218357949,False
openai_gpt56_sol,GPT,q1_q2_difficulty_hidden,500,0.32194364598460085,0.8722829868358798,0.0999072477218867,False
openai_gpt56_sol,GPT,q1_q2_difficulty_single_hidden,500,0.3268807071134936,0.862876068019259,0.10047783405555694,False
anthropic_sonnet5,Claude,q1,500,0.508528322056864,0.7230614931360871,0.16673223433760598,False
anthropic_sonnet5,Claude,q1_q2,500,0.5005953983889458,0.7304373263127103,0.16423090627777334,False
anthropic_sonnet5,Claude,difficulty,500,0.4413064208326495,0.818111535970246,0.13967056020612842,False
anthropic_sonnet5,Claude,q1_q2_hidden,500,0.468228523757128,0.7754654296997432,0.15482774420368656,False
anthropic_sonnet5,Claude,q1_q2_difficulty,500,0.41804413030512494,0.8489939196389393,0.13553216302830642,False
anthropic_sonnet5,Claude,q1_q2_difficulty_hidden,500,0.4104159860926536,0.8536534403142565,0.13626275907463775,False
anthropic_sonnet5,Claude,q1_q2_difficulty_single_hidden,500,0.4140816635528165,0.8516266532940514,0.13679816713756485,False
