task,model_alias,delta,lambda,normalized_loss,leakage_rate,verification_coverage
mmlu,anthropic_sonnet5,0.75,0.005,0.0215,0.018,0.7
mmlu,anthropic_sonnet5,0.75,0.01,0.024999999999999998,0.018,0.7
mmlu,anthropic_sonnet5,0.75,0.02,0.032,0.018,0.7
mmlu,anthropic_sonnet5,0.75,0.05,0.05299999999999999,0.018,0.7
mmlu,anthropic_sonnet5,0.75,0.1,0.088,0.018,0.7
mmlu,anthropic_sonnet5,0.75,0.2,0.15799999999999997,0.018,0.7
mmlu,anthropic_sonnet5,0.75,0.5,0.368,0.018,0.7
mmlu,anthropic_sonnet5,0.75,1.0,0.718,0.018,0.7
mmlu,anthropic_sonnet5,1.5,0.001,0.034604,0.034,0.604
mmlu,anthropic_sonnet5,1.5,0.002,0.035208,0.034,0.604
mmlu,anthropic_sonnet5,1.5,0.005,0.037020000000000004,0.034,0.604
mmlu,anthropic_sonnet5,1.5,0.01,0.040040000000000006,0.034,0.604
mmlu,anthropic_sonnet5,1.5,0.02,0.04608,0.034,0.604
mmlu,anthropic_sonnet5,1.5,0.05,0.06420000000000001,0.034,0.604
mmlu,anthropic_sonnet5,1.5,0.1,0.09440000000000001,0.034,0.604
mmlu,anthropic_sonnet5,1.5,0.2,0.1548,0.034,0.604
mmlu,anthropic_sonnet5,1.5,0.5,0.33599999999999997,0.034,0.604
mmlu,anthropic_sonnet5,1.5,1.0,0.638,0.034,0.604
code,openai_gpt56_sol,-1.5,0.001,0.31145104895104897,0.3111888111888112,0.26223776223776224
code,openai_gpt56_sol,-1.5,0.002,0.31171328671328674,0.3111888111888112,0.26223776223776224
code,openai_gpt56_sol,-1.5,0.005,0.3125,0.3111888111888112,0.26223776223776224
code,openai_gpt56_sol,-1.5,0.01,0.3138111888111888,0.3111888111888112,0.26223776223776224
code,openai_gpt56_sol,-1.5,0.02,0.31643356643356646,0.3111888111888112,0.26223776223776224
code,openai_gpt56_sol,-1.5,0.05,0.3243006993006993,0.3111888111888112,0.26223776223776224
code,openai_gpt56_sol,-1.5,0.1,0.3374125874125874,0.3111888111888112,0.26223776223776224
code,openai_gpt56_sol,-1.5,0.2,0.36363636363636365,0.3111888111888112,0.26223776223776224
code,openai_gpt56_sol,-1.5,0.5,0.4423076923076923,0.3111888111888112,0.26223776223776224
code,openai_gpt56_sol,-1.5,1.0,0.5734265734265734,0.3111888111888112,0.26223776223776224
code,openai_gpt56_sol,-0.75,0.001,0.3219230769230769,0.32167832167832167,0.24475524475524477
code,openai_gpt56_sol,-0.75,0.002,0.3221678321678322,0.32167832167832167,0.24475524475524477
code,openai_gpt56_sol,-0.75,0.005,0.3229020979020979,0.32167832167832167,0.24475524475524477
code,openai_gpt56_sol,-0.75,0.01,0.3241258741258741,0.32167832167832167,0.24475524475524477
code,openai_gpt56_sol,-0.75,0.02,0.3265734265734266,0.32167832167832167,0.24475524475524477
code,openai_gpt56_sol,-0.75,0.05,0.3339160839160839,0.32167832167832167,0.24475524475524477
code,openai_gpt56_sol,-0.75,0.1,0.34615384615384615,0.32167832167832167,0.24475524475524477
code,openai_gpt56_sol,-0.75,0.2,0.3706293706293706,0.32167832167832167,0.24475524475524477
code,openai_gpt56_sol,-0.75,0.5,0.44405594405594406,0.32167832167832167,0.24475524475524477
code,openai_gpt56_sol,-0.75,1.0,0.5664335664335665,0.32167832167832167,0.24475524475524477
code,openai_gpt56_sol,0.0,0.001,0.29747552447552444,0.2972027972027972,0.2727272727272727
code,openai_gpt56_sol,0.0,0.002,0.29774825174825176,0.2972027972027972,0.2727272727272727
code,openai_gpt56_sol,0.0,0.005,0.29856643356643353,0.2972027972027972,0.2727272727272727
code,openai_gpt56_sol,0.0,0.01,0.29993006993006993,0.2972027972027972,0.2727272727272727
code,openai_gpt56_sol,0.0,0.02,0.3026573426573426,0.2972027972027972,0.2727272727272727
code,openai_gpt56_sol,0.0,0.05,0.3108391608391608,0.2972027972027972,0.2727272727272727
code,openai_gpt56_sol,0.0,0.1,0.32447552447552447,0.2972027972027972,0.2727272727272727
code,openai_gpt56_sol,0.0,0.2,0.35174825174825175,0.2972027972027972,0.2727272727272727
code,openai_gpt56_sol,0.0,0.5,0.43356643356643354,0.2972027972027972,0.2727272727272727
code,openai_gpt56_sol,0.0,1.0,0.5699300699300699,0.2972027972027972,0.2727272727272727
code,openai_gpt56_sol,0.75,0.001,0.35683916083916084,0.35664335664335667,0.1958041958041958
code,openai_gpt56_sol,0.75,0.002,0.35703496503496507,0.35664335664335667,0.1958041958041958
code,openai_gpt56_sol,0.75,0.005,0.35762237762237764,0.35664335664335667,0.1958041958041958
code,openai_gpt56_sol,0.75,0.01,0.3586013986013986,0.35664335664335667,0.1958041958041958
code,openai_gpt56_sol,0.75,0.02,0.36055944055944056,0.35664335664335667,0.1958041958041958
