model_id,model_label,decision_owner,error_cost,n,n_wrong,hidden_verify_rate,hidden_action_nunique,log_loss_conf_only,log_loss_conf_plus_hidden,delta_log_loss_A_minus_B,delta_log_loss_ci_lower,delta_log_loss_ci_upper,brier_conf_only,brier_conf_plus_hidden,delta_brier_A_minus_B,delta_brier_ci_lower,delta_brier_ci_upper,auroc_conf_only,auroc_conf_plus_hidden,delta_auroc_B_minus_A,delta_auroc_ci_lower,delta_auroc_ci_upper,positive_delta_means
anthropic_sonnet5,Claude Sonnet 5,ai_system,2.0,500,129,0.516,2,0.49966097946305527,0.4697591481558488,0.029901831307206472,0.006348479435327698,0.05283383394458865,0.16438057722055585,0.15565743401214754,0.008723143208408307,0.0009676407617329145,0.016483520962494926,0.7337386907373744,0.7767295597484277,0.04299086901105331,0.01699408235262204,0.07075208593909434,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
anthropic_sonnet5,Claude Sonnet 5,ai_system,5.0,500,129,0.56,2,0.49966097946305527,0.4719644689636334,0.027696510499421845,0.005737724173059706,0.049636001984833346,0.16438057722055585,0.1572873103870814,0.007093266833474443,-8.197734520205087e-05,0.014107910254391393,0.7337386907373744,0.7698969890720658,0.03615829833469142,0.012139773254091907,0.06244066112284068,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
anthropic_sonnet5,Claude Sonnet 5,ai_system,10.0,500,129,0.584,2,0.49966097946305527,0.4789479080579496,0.020713071405105643,0.0015448920954419638,0.039480369592279886,0.16438057722055585,0.15938436039671108,0.004996216823844768,-0.0012470831364988257,0.010934022190311636,0.7337386907373744,0.7607868948369167,0.02704820409954234,0.003930248212801086,0.0499475010715461,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
anthropic_sonnet5,Claude Sonnet 5,ai_system,20.0,500,129,0.646,2,0.49966097946305527,0.4767961500080494,0.022864829455005842,0.003196641791558289,0.04195073367616398,0.16438057722055585,0.15916844796000004,0.005212129260555809,-0.0005529508731758324,0.010972232910429607,0.7337386907373744,0.7565661631041184,0.022827472366743984,0.003437646911911618,0.042493706045135526,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
anthropic_sonnet5,Claude Sonnet 5,human,2.0,500,129,0.504,2,0.49966097946305527,0.46132678123291293,0.038334198230142336,0.01305210405937403,0.06308023633755505,0.16438057722055585,0.15250798625860257,0.011872590961953283,0.0033954235321114598,0.02019307293223841,0.7337386907373744,0.7834785515785955,0.04973986084122106,0.025859397263981992,0.07896311964756261,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
anthropic_sonnet5,Claude Sonnet 5,human,5.0,500,129,0.546,2,0.49966097946305527,0.4753642889930415,0.02429669047001376,0.0012561984046666264,0.046797127134575345,0.16438057722055585,0.1578329837919124,0.0065475934286434445,-0.0007332805203252967,0.013649349908839183,0.7337386907373744,0.7658747570989782,0.03213606636160382,0.0072234906139016,0.05845177925724324,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
anthropic_sonnet5,Claude Sonnet 5,human,10.0,500,129,0.544,2,0.49966097946305527,0.4740253239382055,0.025635655524849754,0.0040429118885306385,0.04701665139111316,0.16438057722055585,0.15714487831210253,0.007235698908453325,0.0002355995092041189,0.014145411054990994,0.7337386907373744,0.7694582001295472,0.03571950939217283,0.011202962082965007,0.060820763910110515,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
anthropic_sonnet5,Claude Sonnet 5,human,20.0,500,129,0.598,2,0.49966097946305527,0.48121778027585443,0.01844319918720083,-0.00034820155515207966,0.037517666249907926,0.16438057722055585,0.16010121991165738,0.004279357308898474,-0.0015423788848600974,0.010160586389252088,0.7337386907373744,0.7574646357007041,0.023725944963329693,0.00036680112140854916,0.050115192020083306,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
google_gemini38_flash,Gemini 3.8 Flash,ai_system,2.0,500,60,0.06,2,0.2967444662892911,0.2960676487718407,0.0006768175174503566,-0.005479043158098442,0.007702290909102904,0.08560333144725109,0.08570374321884175,-0.00010041177159066106,-0.0021583148787034066,0.0021414880108897283,0.8654356060606061,0.868560606060606,0.0031249999999999334,-0.0075948533862873835,0.017505311901605602,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
google_gemini38_flash,Gemini 3.8 Flash,ai_system,5.0,500,60,0.098,2,0.2967444662892911,0.29178911128065854,0.004955355008632534,-0.007579890010583525,0.018462262543808207,0.08560333144725109,0.08402596408892232,0.0015773673583287656,-0.0026116860758291518,0.006098628682213575,0.8654356060606061,0.8661742424242425,0.000738636363636358,-0.021268438435448914,0.020517642990691476,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
google_gemini38_flash,Gemini 3.8 Flash,ai_system,10.0,500,60,0.09,2,0.2967444662892911,0.2913816113498521,0.005362854939438999,-0.007172430817859677,0.018499177022818197,0.08560333144725109,0.08443849997746875,0.001164831469782343,-0.0028516387513296076,0.005396494115780683,0.8654356060606061,0.8723295454545454,0.006893939393939341,-0.0039827099211415294,0.018220203807870396,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
google_gemini38_flash,Gemini 3.8 Flash,ai_system,20.0,500,60,0.106,2,0.2967444662892911,0.29522404003015973,0.0015204262591313467,-0.007837704335448725,0.011885735042553929,0.08560333144725109,0.0857587491243915,-0.0001554176771404181,-0.003233169012586012,0.003083460259041767,0.8654356060606061,0.8628598484848485,-0.0025757575757575646,-0.017624142484921806,0.012342619360371676,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
google_gemini38_flash,Gemini 3.8 Flash,human,2.0,500,60,0.062,2,0.2967444662892911,0.2938887064820893,0.002855759807201763,-0.00810623253071834,0.014474578576964868,0.08560333144725109,0.08513670591656206,0.0004666255306890327,-0.003513562107920294,0.004579486485776689,0.8654356060606061,0.8715909090909091,0.006155303030302983,-0.006948659904113598,0.021309186569889563,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
google_gemini38_flash,Gemini 3.8 Flash,human,5.0,500,60,0.066,2,0.2967444662892911,0.30040545027386323,-0.0036609839845721526,-0.007157152948837186,-0.0002954955957243701,0.08560333144725109,0.0870262266495314,-0.001422895202280311,-0.0027695563286375597,-0.00021707339327109172,0.8654356060606061,0.8671969696969697,0.0017613636363635887,-0.008949427689898563,0.013730278751603556,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
google_gemini38_flash,Gemini 3.8 Flash,human,10.0,500,60,0.094,2,0.2967444662892911,0.2809868510287462,0.015757615260544866,-0.0052556173751889595,0.036983349157084504,0.08560333144725109,0.08037519937393191,0.0052281320733191805,-0.002206418694397576,0.012900478538926976,0.8654356060606061,0.8631818181818182,-0.0022537878787879384,-0.02428554296192982,0.023473341112012994,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
google_gemini38_flash,Gemini 3.8 Flash,human,20.0,500,60,0.09,2,0.2967444662892911,0.2859204837746924,0.010823982514598651,-0.006125982595162099,0.028359966857576694,0.08560333144725109,0.0820239475460183,0.0035793839012327883,-0.0022494847042615995,0.009634791606758761,0.8654356060606061,0.8718560606060606,0.006420454545454479,-0.011114537073603097,0.024626566429071513,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
openai_gpt56_sol,GPT-5.6 Sol,ai_system,2.0,500,87,0.224,2,0.4502657817635578,0.4132358323969074,0.03702994936665038,0.009094435708036098,0.06418053334933381,0.14049839530965982,0.1278904936914152,0.012607901618244627,0.0025981945956942325,0.022657706284503743,0.6516239458963012,0.6784531463082019,0.026829200411900622,-0.035172838781839404,0.08706506859046126,positive log-loss/Brier delta: hidden action reduces loss; positive AUROC delta: hidden action improves ranking
