model_id,model_label,decision_owner,error_cost,n,n_wrong,n_correct,hidden_verify_budget,hidden_n_verify,hidden_error_catch_rate,hidden_correct_verify_rate,hidden_precision,hidden_wrong_unverified_rate,conf_error_catch_rate,conf_correct_verify_rate,conf_precision,catch_diff_hidden_minus_conf,catch_diff_ci_lower,catch_diff_ci_upper,catch_diff_n_valid_resamples,visible_verify_rate,visible_error_catch_rate,visible_wrong_unverified_rate,hidden_mean_cost,visible_mean_cost,cost_diff_visible_minus_hidden,cost_diff_ci_lower,cost_diff_ci_upper,wrong_unverified_diff_visible_minus_hidden,verify_rate_diff_visible_minus_hidden,visible_vs_raw_threshold_agreement,hidden_vs_raw_threshold_agreement,raw_threshold_verify_rate
anthropic_sonnet5,Claude Sonnet 5,ai_system,2.0,500,129,371,0.516,258,0.8604651162790697,0.39622641509433965,0.43023255813953487,0.13953488372093026,0.7491190979563073,0.4349424160744915,0.37455954897815363,0.11134601832276247,0.03903502141597377,0.18443266315734227,5000.0,0.67,0.9457364341085271,0.054263565891472854,0.588,0.698,0.11,0.078,0.144,-0.0852713178294574,0.15400000000000003,0.41,0.564,0.08
anthropic_sonnet5,Claude Sonnet 5,ai_system,5.0,500,129,371,0.56,280,0.8837209302325582,0.4474393530997305,0.40714285714285714,0.11627906976744184,0.7801268498942917,0.483459936290125,0.35941558441558435,0.10359408033826645,0.03253389854104028,0.17146589509972907,5000.0,0.762,0.9689922480620154,0.03100775193798455,0.71,0.802,0.092,0.025950000000000216,0.152,-0.0852713178294573,0.20199999999999996,0.802,0.768,0.564
anthropic_sonnet5,Claude Sonnet 5,ai_system,10.0,500,129,371,0.584,292,0.8837209302325582,0.4797843665768194,0.3904109589041096,0.11627906976744184,0.805094130675526,0.5071236041586445,0.3556751467710372,0.07862679955703211,0.012671478379759286,0.14748220040839582,5000.0,0.79,0.9922480620155039,0.007751937984496138,0.884,0.81,-0.074,-0.216,0.056,-0.10852713178294571,0.20600000000000007,0.922,0.756,0.756
anthropic_sonnet5,Claude Sonnet 5,ai_system,20.0,500,129,371,0.646,323,0.9302325581395349,0.5471698113207547,0.3715170278637771,0.06976744186046513,0.8578811369509043,0.5723270440251572,0.34262125902992774,0.07235142118863058,0.019344150200659604,0.1281055930895084,5000.0,0.87,0.9922480620155039,0.007751937984496138,1.006,0.91,-0.096,-0.322,0.102,-0.06201550387596899,0.22399999999999998,0.9,0.692,0.946
anthropic_sonnet5,Claude Sonnet 5,human,2.0,500,129,371,0.504,252,0.8682170542635659,0.37735849056603776,0.4444444444444444,0.13178294573643412,0.7406624383368569,0.4217103651065915,0.3791486291486291,0.12755461592670903,0.06106870229007633,0.20000183385292503,5000.0,0.632,0.9302325581395349,0.06976744186046513,0.572,0.668,0.096,0.062,0.13,-0.06201550387596899,0.128,0.448,0.576,0.08
anthropic_sonnet5,Claude Sonnet 5,human,5.0,500,129,371,0.546,273,0.875968992248062,0.431266846361186,0.4139194139194139,0.12403100775193798,0.770260747004933,0.46802254349424166,0.36396936396936397,0.10570824524312905,0.03736103110599088,0.17132005539263584,5000.0,0.724,0.9534883720930233,0.046511627906976716,0.706,0.784,0.078,0.012,0.14,-0.07751937984496127,0.17799999999999994,0.836,0.774,0.564
anthropic_sonnet5,Claude Sonnet 5,human,10.0,500,129,371,0.544,272,0.8682170542635659,0.431266846361186,0.4117647058823529,0.13178294573643412,0.7688513037350246,0.46581720166625823,0.36463903743315507,0.09936575052854124,0.030168649291165858,0.16793917596398517,5000.0,0.746,0.9689922480620154,0.03100775193798455,0.884,0.826,-0.058,-0.202,0.066,-0.10077519379844957,0.20199999999999996,0.918,0.724,0.756
anthropic_sonnet5,Claude Sonnet 5,human,20.0,500,129,371,0.598,299,0.8914728682170543,0.49595687331536387,0.38461538461538464,0.10852713178294571,0.8188343382141833,0.521213936308276,0.3532763532763533,0.07263853000287102,0.008739382461975979,0.13980263157894735,5000.0,0.82,0.9844961240310077,0.015503875968992276,1.158,0.9,-0.258,-0.532,-0.022,-0.09302325581395343,0.22199999999999998,0.87,0.64,0.946
google_gemini38_flash,Gemini 3.8 Flash,ai_system,2.0,500,60,440,0.06,30,0.2833333333333333,0.029545454545454545,0.5666666666666667,0.7166666666666667,0.3,0.02727272727272727,0.6,-0.016666666666666663,-0.09433962264150947,0.0735430283224399,5000.0,0.04,0.25,0.75,0.232,0.22,-0.012,-0.03,0.006,0.033333333333333326,-0.019999999999999997,0.996,0.952,0.036
google_gemini38_flash,Gemini 3.8 Flash,ai_system,5.0,500,60,440,0.098,49,0.45,0.05,0.5510204081632653,0.55,0.3949999999999999,0.0575,0.483673469387755,0.055000000000000104,-0.025271861205515868,0.13910055036041305,5000.0,0.078,0.3333333333333333,0.6666666666666667,0.428,0.478,0.05,-0.008,0.11,0.1166666666666667,-0.020000000000000004,0.996,0.948,0.074
google_gemini38_flash,Gemini 3.8 Flash,ai_system,10.0,500,60,440,0.09,45,0.4166666666666667,0.045454545454545456,0.5555555555555556,0.5833333333333333,0.37499999999999994,0.05113636363636364,0.5,0.04166666666666674,-0.04255319148936171,0.1251174736508252,5000.0,0.22,0.7,0.30000000000000004,0.79,0.58,-0.21,-0.376,-0.062,-0.2833333333333332,0.13,0.99,0.864,0.21
google_gemini38_flash,Gemini 3.8 Flash,ai_system,20.0,500,60,440,0.106,53,0.4166666666666667,0.06363636363636363,0.4716981132075472,0.5833333333333333,0.41500000000000004,0.06386363636363637,0.46981132075471693,0.0016666666666666496,-0.09059707015060113,0.08632609373281014,5000.0,0.27,0.7666666666666667,0.23333333333333328,1.506,0.83,-0.676,-1.04205,-0.336,-0.35,0.16400000000000003,0.798,0.63,0.472
google_gemini38_flash,Gemini 3.8 Flash,human,2.0,500,60,440,0.062,31,0.31666666666666665,0.02727272727272727,0.6129032258064516,0.6833333333333333,0.31666666666666665,0.02727272727272727,0.6129032258064516,0.0,-0.07905249994417274,0.1111111111111111,5000.0,0.04,0.21666666666666667,0.7833333333333333,0.226,0.228,0.002,-0.018,0.022,0.09999999999999998,-0.022,0.996,0.95,0.036
google_gemini38_flash,Gemini 3.8 Flash,human,5.0,500,60,440,0.066,33,0.2833333333333333,0.03636363636363636,0.5151515151515151,0.7166666666666667,0.31666666666666665,0.031818181818181815,0.5757575757575758,-0.033333333333333326,-0.1111111111111111,0.06263227513227483,5000.0,0.086,0.35,0.65,0.496,0.476,-0.02,-0.082,0.03804999999999927,-0.06666666666666665,0.01999999999999999,0.988,0.948,0.074
google_gemini38_flash,Gemini 3.8 Flash,human,10.0,500,60,440,0.094,47,0.48333333333333334,0.04090909090909091,0.6170212765957447,0.5166666666666666,0.385,0.05431818181818182,0.4914893617021277,0.09833333333333333,0.012497153916211262,0.18585399297937685,5000.0,0.218,0.7166666666666667,0.2833333333333333,0.714,0.558,-0.156,-0.30404999999999976,-0.018,-0.23333333333333328,0.124,0.992,0.868,0.21
google_gemini38_flash,Gemini 3.8 Flash,human,20.0,500,60,440,0.09,45,0.45,0.04090909090909091,0.6,0.55,0.37499999999999994,0.05113636363636364,0.5,0.07500000000000007,-0.010524698200286143,0.16734017480765717,5000.0,0.256,0.75,0.25,1.41,0.856,-0.554,-0.8880499999999998,-0.264,-0.30000000000000004,0.166,0.784,0.618,0.472
