model_id,model_label,error_cost,decision_owner,policy,policy_detail,visibility,verification_rate,wrong_unverified_rate,correct_verify_rate,error_catch_rate,mean_realized_cost,mean_cost_ci_lower,mean_cost_ci_upper,n,n_wrong,brier,auroc,ece_10bin
anthropic_sonnet5,Claude Sonnet 5,20.0,ai_system,actual_hidden,hidden_ai_system,hidden,0.646,0.06976744186046513,0.5471698113207547,0.9302325581395349,1.006,0.802,1.258,500,129,,,
anthropic_sonnet5,Claude Sonnet 5,20.0,ai_system,actual_visible,visible_ai_system,visible,0.87,0.007751937984496138,0.8274932614555256,0.9922480620155039,0.91,0.85,1.004,500,129,,,
anthropic_sonnet5,Claude Sonnet 5,20.0,human,actual_hidden,hidden_human,hidden,0.598,0.10852713178294571,0.49595687331536387,0.8914728682170543,1.158,0.894,1.45,500,129,,,
anthropic_sonnet5,Claude Sonnet 5,20.0,human,actual_visible,visible_human,visible,0.82,0.015503875968992276,0.7628032345013477,0.9844961240310077,0.9,0.808,1.03,500,129,,,
anthropic_sonnet5,Claude Sonnet 5,20.0,pooled_owners,actual_hidden,hidden_mean_of_owners,hidden,0.622,0.08914728682170542,0.5215633423180592,0.9108527131782946,1.082,0.854,1.333,500,129,,,
anthropic_sonnet5,Claude Sonnet 5,20.0,pooled_owners,actual_visible,visible_mean_of_owners,visible,0.845,0.011627906976744207,0.7951482479784366,0.9883720930232558,0.905,0.833,1.007,500,129,,,
anthropic_sonnet5,Claude Sonnet 5,,na,score_quality,raw_q,na,,,,,,,,500,129,0.1632818,0.7366743977099396,0.037699999999999984
anthropic_sonnet5,Claude Sonnet 5,,na,score_quality,isotonic_cv,na,,,,,,,,500,129,0.16611525665688764,0.7123529534674774,0.032703526868115236
anthropic_sonnet5,Claude Sonnet 5,,na,score_quality,platt_cv,na,,,,,,,,500,129,0.16438057722055585,0.7337386907373743,0.03411560243397788
google_gemini38_flash,Gemini 3.8 Flash,2.0,na,raw_confidence_threshold,raw_confidence_threshold,na,0.036,0.7833333333333333,0.011363636363636364,0.21666666666666667,0.224,0.174,0.278,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,2.0,na,isotonic_calibrated_threshold,isotonic_calibrated_threshold,na,0.04,0.7666666666666666,0.013636363636363636,0.23333333333333334,0.224,0.172,0.2780499999999993,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,2.0,na,platt_calibrated_threshold,platt_calibrated_threshold,na,0.04,0.7666666666666666,0.013636363636363636,0.23333333333333334,0.224,0.172,0.28,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,2.0,ai_system,actual_hidden,hidden_ai_system,hidden,0.06,0.7166666666666667,0.029545454545454545,0.2833333333333333,0.232,0.18,0.284,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,2.0,ai_system,actual_visible,visible_ai_system,visible,0.04,0.75,0.011363636363636364,0.25,0.22,0.168,0.274,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,2.0,human,actual_hidden,hidden_human,hidden,0.062,0.6833333333333333,0.02727272727272727,0.31666666666666665,0.226,0.176,0.278,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,2.0,human,actual_visible,visible_human,visible,0.04,0.7833333333333333,0.015909090909090907,0.21666666666666667,0.228,0.176,0.284,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,2.0,pooled_owners,actual_hidden,hidden_mean_of_owners,hidden,0.061,0.7,0.028409090909090908,0.3,0.229,0.18,0.282,500,60,,,
google_gemini38_flash,Gemini 3.8 Flash,2.0,pooled_owners,actual_visible,visible_mean_of_owners,visible,0.04,0.7666666666666666,0.013636363636363636,0.23333333333333334,0.224,0.172,0.278,500,60,,,
