model_id,decision_owner,error_cost,bin_type,bin_label,q_value,n,n_verify,n_use,error_rate_verify,error_rate_use,error_rate_diff_verify_minus_use
anthropic_sonnet5,ai_system,10.0,quantile,"(0.9, 0.99]",0.952716049382716,81,6,75,0.0,0.013333333333333334,-0.013333333333333334
anthropic_sonnet5,ai_system,20.0,exact_q,q=0.55,0.55,28,25,3,0.36,0.6666666666666666,-0.30666666666666664
anthropic_sonnet5,ai_system,20.0,exact_q,q=0.6,0.6,69,67,2,0.373134328358209,0.0,0.373134328358209
anthropic_sonnet5,ai_system,20.0,exact_q,q=0.65,0.65,13,10,3,0.5,0.0,0.5
anthropic_sonnet5,ai_system,20.0,exact_q,q=0.7,0.7,22,20,2,0.3,0.0,0.3
anthropic_sonnet5,ai_system,20.0,exact_q,q=0.72,0.72,67,58,9,0.29310344827586204,0.0,0.29310344827586204
anthropic_sonnet5,ai_system,20.0,exact_q,q=0.75,0.75,33,19,14,0.2631578947368421,0.07142857142857142,0.19172932330827067
anthropic_sonnet5,ai_system,20.0,exact_q,q=0.8,0.8,14,9,5,0.3333333333333333,0.2,0.1333333333333333
anthropic_sonnet5,ai_system,20.0,exact_q,q=0.85,0.85,81,44,37,0.3181818181818182,0.08108108108108109,0.2371007371007371
anthropic_sonnet5,ai_system,20.0,exact_q,q=0.9,0.9,41,13,28,0.3076923076923077,0.07142857142857142,0.23626373626373628
anthropic_sonnet5,ai_system,20.0,exact_q,q=0.95,0.95,38,6,32,0.16666666666666666,0.0,0.16666666666666666
anthropic_sonnet5,ai_system,20.0,exact_q,q=0.97,0.97,18,2,16,0.0,0.0,0.0
anthropic_sonnet5,ai_system,20.0,quantile,"(0.049, 0.6]",0.5092465753424658,146,141,5,0.46099290780141844,0.4,0.06099290780141842
anthropic_sonnet5,ai_system,20.0,quantile,"(0.6, 0.72]",0.7059223300970875,103,89,14,0.3146067415730337,0.0,0.3146067415730337
anthropic_sonnet5,ai_system,20.0,quantile,"(0.72, 0.85]",0.8187499999999999,128,72,56,0.3055555555555556,0.08928571428571429,0.21626984126984128
anthropic_sonnet5,ai_system,20.0,quantile,"(0.85, 0.9]",0.8995238095238095,42,13,29,0.3076923076923077,0.06896551724137931,0.2387267904509284
anthropic_sonnet5,ai_system,20.0,quantile,"(0.9, 0.99]",0.952716049382716,81,8,73,0.125,0.0,0.125
anthropic_sonnet5,human,2.0,exact_q,q=0.55,0.55,28,23,5,0.391304347826087,0.4,-0.008695652173913049
anthropic_sonnet5,human,2.0,exact_q,q=0.6,0.6,69,59,10,0.4067796610169492,0.1,0.3067796610169492
anthropic_sonnet5,human,2.0,exact_q,q=0.65,0.65,13,8,5,0.625,0.0,0.625
anthropic_sonnet5,human,2.0,exact_q,q=0.7,0.7,22,16,6,0.3125,0.16666666666666666,0.14583333333333334
anthropic_sonnet5,human,2.0,exact_q,q=0.72,0.72,67,38,29,0.3684210526315789,0.10344827586206896,0.26497277676951
anthropic_sonnet5,human,2.0,exact_q,q=0.75,0.75,33,13,20,0.38461538461538464,0.05,0.33461538461538465
anthropic_sonnet5,human,2.0,exact_q,q=0.8,0.8,14,5,9,0.6,0.1111111111111111,0.4888888888888889
anthropic_sonnet5,human,2.0,exact_q,q=0.85,0.85,81,28,53,0.4642857142857143,0.07547169811320754,0.38881401617250677
anthropic_sonnet5,human,2.0,exact_q,q=0.9,0.9,41,10,31,0.3,0.0967741935483871,0.2032258064516129
anthropic_sonnet5,human,2.0,exact_q,q=0.95,0.95,38,4,34,0.0,0.029411764705882353,-0.029411764705882353
anthropic_sonnet5,human,2.0,quantile,"(0.049, 0.6]",0.5092465753424658,146,130,16,0.49230769230769234,0.1875,0.30480769230769234
anthropic_sonnet5,human,2.0,quantile,"(0.6, 0.72]",0.7059223300970875,103,62,41,0.3870967741935484,0.0975609756097561,0.2895357985837923
anthropic_sonnet5,human,2.0,quantile,"(0.72, 0.85]",0.8187499999999999,128,46,82,0.45652173913043476,0.07317073170731707,0.3833510074231177
anthropic_sonnet5,human,2.0,quantile,"(0.85, 0.9]",0.8995238095238095,42,10,32,0.3,0.09375,0.20625
anthropic_sonnet5,human,2.0,quantile,"(0.9, 0.99]",0.952716049382716,81,4,77,0.0,0.012987012987012988,-0.012987012987012988
anthropic_sonnet5,human,5.0,exact_q,q=0.55,0.55,28,25,3,0.36,0.6666666666666666,-0.30666666666666664
anthropic_sonnet5,human,5.0,exact_q,q=0.6,0.6,69,61,8,0.39344262295081966,0.125,0.26844262295081966
anthropic_sonnet5,human,5.0,exact_q,q=0.65,0.65,13,9,4,0.5555555555555556,0.0,0.5555555555555556
anthropic_sonnet5,human,5.0,exact_q,q=0.7,0.7,22,19,3,0.2631578947368421,0.3333333333333333,-0.07017543859649122
anthropic_sonnet5,human,5.0,exact_q,q=0.72,0.72,67,43,24,0.32558139534883723,0.125,0.20058139534883723
anthropic_sonnet5,human,5.0,exact_q,q=0.75,0.75,33,15,18,0.3333333333333333,0.05555555555555555,0.2777777777777778
anthropic_sonnet5,human,5.0,exact_q,q=0.8,0.8,14,7,7,0.42857142857142855,0.14285714285714285,0.2857142857142857
anthropic_sonnet5,human,5.0,exact_q,q=0.85,0.85,81,31,50,0.3870967741935484,0.1,0.2870967741935484
anthropic_sonnet5,human,5.0,exact_q,q=0.9,0.9,41,10,31,0.4,0.06451612903225806,0.33548387096774196
anthropic_sonnet5,human,5.0,exact_q,q=0.95,0.95,38,4,34,0.25,0.0,0.25
anthropic_sonnet5,human,5.0,quantile,"(0.049, 0.6]",0.5092465753424658,146,135,11,0.4740740740740741,0.2727272727272727,0.20134680134680139
anthropic_sonnet5,human,5.0,quantile,"(0.6, 0.72]",0.7059223300970875,103,71,32,0.3380281690140845,0.125,0.2130281690140845
anthropic_sonnet5,human,5.0,quantile,"(0.72, 0.85]",0.8187499999999999,128,53,75,0.37735849056603776,0.09333333333333334,0.28402515723270444
anthropic_sonnet5,human,5.0,quantile,"(0.85, 0.9]",0.8995238095238095,42,10,32,0.4,0.0625,0.3375
anthropic_sonnet5,human,5.0,quantile,"(0.9, 0.99]",0.952716049382716,81,4,77,0.25,0.0,0.25
anthropic_sonnet5,human,10.0,exact_q,q=0.55,0.55,28,25,3,0.36,0.6666666666666666,-0.30666666666666664
